post_number,platform,post_id,schedule_ct,schedule_utc,image_path
26,facebook,69b473616585e9813068b964,2026-04-20 09:12 AM,2026-04-20T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_26_branded_v3.png
26,instagram,69b473616a3291266abbb380,2026-04-20 12:18 PM,2026-04-20T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_26_branded_v3.png
26,linkedin,69b47361b6586ba9f1dbbd76,2026-04-21 08:42 AM,2026-04-21T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_26_branded_v3.png
27,facebook,69b47362e919ca778d9812cf,2026-04-21 09:12 AM,2026-04-21T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_27_branded_v3.png
27,instagram,69b473634e84c9bd2bb18f68,2026-04-21 12:18 PM,2026-04-21T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_27_branded_v3.png
27,linkedin,69b47363b6586b7c7cdbbf74,2026-04-22 08:42 AM,2026-04-22T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_27_branded_v3.png
28,facebook,69b473644e84c93b13b19115,2026-04-22 09:12 AM,2026-04-22T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_28_branded_v3.png
28,instagram,69b473649874e0dcd66ef0eb,2026-04-22 12:18 PM,2026-04-22T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_28_branded_v3.png
28,linkedin,69b4736536bd52684d3154be,2026-04-23 08:42 AM,2026-04-23T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_28_branded_v3.png
29,facebook,69b47366e919ca92179816e9,2026-04-23 09:12 AM,2026-04-23T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_29_branded_v3.png
29,instagram,69b47366d32cb8d95a8c934c,2026-04-23 12:18 PM,2026-04-23T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_29_branded_v3.png
29,linkedin,69b473669874e026246ef407,2026-04-24 08:42 AM,2026-04-24T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_29_branded_v3.png
30,facebook,69b4736836bd52199a315914,2026-04-24 09:12 AM,2026-04-24T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_30_branded_v3.png
30,instagram,69b47369b6586b2d4fdbc72e,2026-04-24 12:18 PM,2026-04-24T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_30_branded_v3.png
30,linkedin,69b47369b6586ba103dbc7d0,2026-04-27 08:42 AM,2026-04-27T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_30_branded_v3.png
